Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
SDSS J002625.86-004830.0,6.6077699999999995,-0.80835,902312,3.009788,21.7g
SDSS J002627.95+005215.6,6.6165199999999995,0.8710200000000001,309842,1.03352,21.4g
WISEA J002628.35+003951.3,6.618130000000001,0.6643100000000001,356753,1.19,21.0g
WISEA J002633.76-005115.4,6.64032,-0.8539200000000001,395726,1.32,21.2g
WISEA J002636.01+002303.2,6.65002,0.38455,320778,1.07,21.4g
SDSS J002636.86-004928.0,6.65362,-0.8244600000000001,350757,1.17,22.1g
WISEA J002641.10+004140.2,6.6714,0.69445,320778,1.07,21.6g
WISEA J002645.55+170353.1,6.68992,17.06481,368519,1.229248,20.4V
WISEA J002648.06-034126.8,6.700069999999999,-3.69087,686325,2.289333,20.04
SDSS J002648.59+000020.9,6.7025,0.00583,320778,1.07,22.2g
SDSS J002648.99+003027.1,6.70415,0.50753,305788,1.02,21.3g
WISEA J002651.12-004343.4,6.71307,-0.72877,1279191,4.26692,22.3g
SDSS J002659.84-005711.1,6.749339999999999,-0.9531,350757,1.17,20.5g
SDSS J002723.00-013639.9,6.846030000000001,-1.61097,863852,2.8815,19.58
WISEA J002723.76+155733.6,6.849010000000001,15.95933,332932,1.110543,22.0g
WISEA J002725.17-001304.3,6.85493,-0.21765,326454,1.088932,21.6g
WISEA J002735.99-002343.3,6.90015,-0.39541,649545,2.16665,21.6g
WISEA J002738.14-011454.4,6.90883,-1.24829,380736,1.27,21.7g
WISEA J002742.29-011152.9,6.92633,-1.1982,359751,1.2,21.7g
WISEA J002749.64+004720.2,6.956810000000001,0.78895,328663,1.096302,21.6g
WISEA J002803.26+002818.4,7.01348,0.47157,740577,2.4703,21.1g
WISEA J002819.92+160258.9,7.0831,16.0497,489299,1.632127,21.9g
SDSS J002834.43+000037.5,7.1435,0.01042,1390012,4.63658,21.6g
SDSS J002835.10+144535.6,7.14629,14.7599,685777,2.287504,21.8g
SDSS J002852.42-010137.9,7.218489999999999,-1.02719,747992,2.4950330000000003,21.6g
WISEA J002904.44+010542.4,7.2686399999999995,1.09512,317227,1.0581559999999999,21.8g
WISEA J002913.67-004240.2,7.30708,-0.71123,2003498,6.682949000000001,23.3g
WISEA J002940.45+150103.7,7.41863,15.017729999999998,356417,1.188878,21.4g
WISEA J002941.45+153148.7,7.42305,15.53009,334159,1.114633,21.9g
SDSS J002941.58+135253.1,7.42333,13.88142,774948,2.584948,21.9g
WISEA J002945.78-002316.3,7.44077,-0.38786,368171,1.228086,21.6g
WISEA J002947.43+155539.9,7.44764,15.927810000000001,741910,2.474745,21.0g
SDSS J003002.27+160633.7,7.509469999999999,16.109379999999998,747696,2.4940450000000003,21.3g
WISEA J003005.38+295708.0,7.522419999999999,29.95225,1557964,5.196809,14.2R
WISEA J003026.28+004035.1,7.60953,0.6763600000000001,301274,1.004941,21.7g
SDSS J003045.31+151331.2,7.68883,15.22536,739915,2.46809,21.5g
SDSS J003130.97-002213.6,7.87907,-0.37046,714739,2.384112,21.9g
SDSS J003141.63+010926.5,7.92346,1.1573799999999999,700041,2.335085,22.2g
WISEA J003150.61-090932.1,7.960030000000001,-9.15888,912868,3.045,21.2g
SDSS J003200.52+005457.9,8.00217,0.9161100000000001,730962,2.438228,21.8g
WISEA J003202.29+005251.8,8.00966,0.8810399999999999,625301,2.085779,21.3g
WISEA J003205.38-041415.8,8.02238,-4.237830000000001,946886,3.158472,19.2b
SDSS J003208.38-005141.6,8.03492,-0.8616299999999999,514290,1.715486,21.8g
WISEA J003211.06-000354.0,8.04624,-0.06514,751405,2.506416,21.5g
WISEA J003214.73+001435.3,8.06144,0.24323000000000003,796816,2.657893,20.7g
WISEA J003228.17+004956.8,8.1175,0.8325899999999999,485097,1.618109,21.2g
WISEA J003250.55+005330.8,8.21069,0.89175,697267,2.325831,22.3g
SDSS J003253.03-011013.6,8.22098,-1.17046,398724,1.33,21.3g
WISEA J003316.93+001836.9,8.32061,0.3102,314875,1.050311,22.2g
SDSS J003318.48+002307.6,8.32705,0.38548000000000004,1201603,4.008115,22.0g
SDSS J003319.73+001621.4,8.332230000000001,0.27263000000000004,817534,2.727,20.13
