Object Name,RA,DEC,Velocity,Redshift,Magnitude and Filter
WISEA J002217.58+012723.8,5.57285,1.4564,-91,-0.000305,19.43
WISEA J002225.10+003226.3,5.6047199999999995,0.54071,-35,-0.00011599999999999999,20.8g
WISEA J002236.65-003502.1,5.6527199999999995,-0.58387,-40,-0.000134,20.2g
SDSS J002258.30-002304.3,5.74294,-0.38459,-25,-8.4e-05,17.2g
SDSS J002316.11+135706.7,5.81717,13.95183,-30,-9.9e-05,21.4g
SDSS J002324.46-001640.8,5.85196,-0.27802,-60,-0.00020099999999999998,21.7g
WISEA J002352.66+010747.0,5.9694,1.1296700000000002,-92,-0.000308,20.3g
2MASS J00243182-1110374,6.13265,-11.17714,-125,-0.000417,17.6g
SDSS J002434.45-002144.8,6.14354,-0.36246999999999996,-1205,-0.00402,22.1g
WISEA J002500.35-001755.5,6.25148,-0.29879,-38,-0.000126,19.0g
SDSS J002500.71-000842.5,6.2529699999999995,-0.14515999999999998,-43,-0.000144,22.5g
WISEA J002512.24-011114.7,6.301,-1.18745,-1203,-0.004014,21.5g
WISEA J002513.45+153747.4,6.306109999999999,15.62986,-52,-0.000173,18.6g
WISEA J002534.64-010549.5,6.39432,-1.09704,-62,-0.000207,20.0g
SDSS J002542.67-110631.0,6.42783,-11.10864,-82,-0.000272,22.8g
WISEA J002545.87-002938.8,6.44113,-0.49413,-33,-0.000109,19.7g
SDSS J002547.55-110444.6,6.44816,-11.079080000000001,-89,-0.000296,22.3g
WISEA J002548.80+144852.0,6.453069999999999,14.81461,-83,-0.000276,21.8g
2MASS J00254964+0034411,6.45685,0.57809,-70,-0.00023199999999999997,20.3g
WISEA J002550.56-011447.9,6.46091,-1.2466,-55,-0.000183,20.3g
SDSS J002550.69-110447.4,6.46124,-11.07985,-85,-0.00028199999999999997,22.2g
SDSS J002551.36-110305.1,6.46402,-11.05144,-83,-0.000276,22.7g
WISEA J002551.97-110441.2,6.46638,-11.07842,-80,-0.000267,23.1g
WISEA J002552.45-005156.5,6.46865,-0.8657100000000001,-20,-6.8e-05,19.0g
SDSS J002554.91-110354.6,6.4788,-11.06519,-111,-0.00036899999999999997,22.9g
SDSS J002555.42-110744.1,6.48095,-11.128919999999999,-70,-0.00023199999999999997,22.3g
SDSS J002556.30-110602.0,6.48462,-11.10056,-91,-0.000304,23.0g
SDSS J002556.57-110356.9,6.48572,-11.06581,-85,-0.000285,22.3g
SDSS J002558.27-110338.6,6.4928,-11.06072,-88,-0.000292,22.2g
SDSS J002559.80-110251.4,6.4992,-11.04762,-85,-0.00028199999999999997,23.1g
SDSS J002600.44-110425.8,6.5018400000000005,-11.07385,-82,-0.00027400000000000005,23.2g
SDSS J002601.99-000024.7,6.5083,-0.00688,-63,-0.00021,19.6g
SDSS J002604.16-110221.4,6.51736,-11.03928,-83,-0.000278,23.0g
SDSS J002605.72-110531.0,6.52384,-11.09195,-68,-0.000227,22.7g
SDSS J002606.48-110253.4,6.527019999999999,-11.04819,-93,-0.000309,23.0g
SDSS J002606.60-110346.4,6.5275300000000005,-11.06291,-96,-0.000319,22.6g
WISEA J002606.61-080139.7,6.527909999999999,-8.02779,-222,-0.000739,19.34
SDSS J002609.93-110230.4,6.54141,-11.041789999999999,-88,-0.000294,22.2g
SDSS J002611.20-110203.2,6.54668,-11.034239999999999,-78,-0.000261,22.4g
SDSS J002614.10-110230.4,6.55877,-11.0418,-88,-0.000293,22.7g
SDSS J002614.35-110255.1,6.559810000000001,-11.04866,-94,-0.000315,22.7g
SDSS J002615.77-110138.4,6.56571,-11.02736,-85,-0.000285,23.3g
SDSS J002616.98-110211.2,6.5707699999999996,-11.03645,-72,-0.000239,21.6g
SDSS J002617.76-110328.8,6.574039999999999,-11.058,-77,-0.000258,23.2g
SDSS J002622.43-105840.5,6.59347,-10.97792,-87,-0.00029,22.8g
SDSS J002622.72-110332.3,6.5947,-11.05898,-99,-0.00033,22.7g
SDSS J002625.44-110158.9,6.60602,-11.03305,-67,-0.000223,22.5g
SDSS J002626.25-110207.1,6.609389999999999,-11.03532,-102,-0.000339,23.2g
SDSS J002627.41-105854.9,6.61423,-10.98194,-94,-0.00031299999999999996,23.5g
SDSS J002628.64-110407.9,6.61935,-11.06888,-89,-0.000296,22.6g
SDSS J002630.09-105952.0,6.625380000000001,-10.99778,-69,-0.00022999999999999998,22.7g
SDSS J002631.66-105941.3,6.6319300000000005,-10.994810000000001,-87,-0.00028900000000000003,22.8g
SDSS J002633.35-110034.1,6.63899,-11.00949,-80,-0.000268,19.8g
SDSS J002637.53-110157.2,6.6564,-11.03256,-69,-0.000229,23.1g
WISEA J002637.97+003539.9,6.6581399999999995,0.5945,-45,-0.000151,21.1g
WISEA J002652.05+001210.4,6.71678,0.20281,-31,-0.00010400000000000001,22.0g
SDSS J002707.08-004824.5,6.779539999999999,-0.80682,-174,-0.000579,20.7g
SDSS J002712.05+224201.6,6.80042,22.70056,-61,-0.00020299999999999997,20.0
WISEA J002715.84+003812.3,6.816039999999999,0.63707,-72,-0.000239,17.7g
SDSS J002717.68+001235.5,6.8237,0.20986999999999997,-91,-0.000304,19.5g
SDSS J002721.93+004837.9,6.84139,0.81055,-131,-0.000436,21.7g
WISEA J002754.94+004731.0,6.978910000000001,0.792,-44,-0.000147,18.5g
WISEA J002800.88+003003.7,7.00367,0.5010600000000001,-585,-0.00195,21.3g
WISEA J002809.94-000720.0,7.0414699999999995,-0.12222999999999999,-42,-0.00014,19.9g
SDSS J002816.09+134920.1,7.0671,13.82228,-32,-0.00010800000000000001,20.8g
WISEA J002817.64-182228.5,7.07367,-18.37453,-72,-0.000241,18.80
WISEA J002830.63-065503.8,7.1269800000000005,-6.91776,-20,-6.8e-05,20.48
WISEA J002831.55+001604.2,7.1316,0.26791,-30,-0.000101,18.7g
WISEA J002838.03-000658.2,7.15855,-0.11627,-49,-0.000164,18.7g
2MASS J00285910-1000370,7.246230000000001,-10.01033,-109,-0.000365,17.5g
WISEA J002942.53-053255.3,7.42758,-5.54842,-20,-6.7e-05,20.35
WISEA J002945.66+134957.2,7.4404,13.832529999999998,-1,-2e-06,23.0g
WISEA J002950.49-080041.3,7.46052,-8.011569999999999,-120,-0.000399,19.82
WISEA J002951.17+005441.8,7.463189999999999,0.91158,-18,-5.9999999999999995e-05,21.5g
WISEA J003024.59+001910.5,7.60239,0.31968,-51,-0.00016999999999999999,19.2g
2MASS J00303233-0041153,7.63474,-0.6876399999999999,-27,-9.1e-05,18.7g
WISEA J003036.76-002455.0,7.65308,-0.41523000000000004,-47,-0.00015800000000000002,21.9g
WISEA J003037.30+003220.1,7.655480000000001,0.5389,-180,-0.000601,22.4g
SDSS J003045.25-010857.4,7.68855,-1.1492799999999999,-48,-0.000161,21.6g
WISEA J003049.59+004327.4,7.7066300000000005,0.72431,-75,-0.00025,15.7g
WISEA J003053.97-001416.0,7.724819999999999,-0.2377,-275,-0.000917,19.4g
WISEA J003058.53+000742.8,7.74401,0.12864,-7,-2.4e-05,18.7g
SDSS J003119.25+153746.4,7.8303199999999995,15.62955,-115,-0.000383,21.3g
WISEA J003131.35-003709.3,7.880730000000001,-0.61905,-9,-3.1e-05,18.97
WISEA J003133.68-002043.7,7.89035,-0.34552,-4,-1.4999999999999999e-05,15.6g
WISEA J003211.64+003504.3,8.04851,0.5846,-69,-0.00022999999999999998,20.4g
WISEA J003213.73-002628.2,8.0572,-0.44113,-110,-0.000366,19.2g
WISEA J003214.05-004301.3,8.05862,-0.71702,-7,-2.3e-05,19.6g
SDSS J003217.25+000059.4,8.07188,0.01653,-198,-0.000662,19.7g
WISEA J003217.83+005932.9,8.07448,0.99246,-61,-0.00020299999999999997,18.3g
WISEA J003218.00+010153.1,8.07496,1.0313700000000001,-28,-9.300000000000001e-05,18.3g
WISEA J003219.45+003151.3,8.0811,0.5309,-34,-0.00011399999999999999,19.9g
SDSS J003222.97+000656.9,8.09572,0.11581,-64,-0.00021400000000000002,23.2g
SDSS J003230.82-010824.4,8.12844,-1.14014,-59,-0.000196,22.0g
SDSS J003236.41-004606.4,8.15172,-0.76845,-145,-0.00048499999999999997,21.9g
WISEA J003239.99-002610.5,8.16657,-0.4364,-4,-1.3000000000000001e-05,22.6g
WISEA J003247.72-004325.3,8.19872,-0.72375,-81,-0.000271,18.3g
WISEA J003248.39-001049.3,8.20161,-0.18042,-1,-5e-06,20.0g
SDSS J003257.36+001456.1,8.23903,0.24893,-49,-0.000162,21.1g
WISEA J003309.68-005520.9,8.29006,-0.92245,0,-0.0,21.2g
SDSS J003312.45-005723.7,8.30188,-0.9566,-89,-0.000297,19.2g
WISEA J003316.61+002343.6,8.319180000000001,0.39545,-23,-7.6e-05,18.0g
2MASS J00332522+0107195,8.355139999999999,1.1221,-15,-4.9e-05,19.8g
SDSS J003326.09-005553.6,8.35874,-0.93156,-27,-9e-05,22.8g
WISEA J003335.39-174440.3,8.39792,-17.744220000000002,-197,-0.000656,18.15
WISEA J003336.80-174908.4,8.40344,-17.819029999999998,-120,-0.000399,18.95
WISEA J003351.34-000729.1,8.4637,-0.12465999999999999,-14,-4.6e-05,19.7g
WISEA J003410.30+153514.7,8.54326,15.587420000000002,-4,-1.3000000000000001e-05,21.7g
SDSS J003412.08+151838.6,8.55035,15.31081,-90,-0.000301,22.4g
WISEA J003415.59+010459.9,8.56498,1.08318,-32,-0.00010800000000000001,21.1g
SDSS J003429.06-004826.8,8.62112,-0.8074600000000001,-192,-0.000642,19.6g
WISEA J003429.61+010503.2,8.62365,1.08412,-95,-0.00031600000000000004,19.7g
WISEA J003432.81+143500.6,8.63678,14.583570000000002,-1140,-0.0038009999999999997,20.2g
SDSS J003434.30-011258.9,8.64295,-1.21638,-53,-0.000176,21.7g
WISEA J003434.88+152014.1,8.6452,15.33716,-48,-0.00016,21.1g
SDSS J003447.77+000533.7,8.69905,0.09271,-28,-9.499999999999999e-05,17.4g
SDSS J003453.28+160939.5,8.72203,16.16101,-83,-0.000278,22.3g
SDSS J003455.05-010343.4,8.7294,-1.06206,-657,-0.0021899999999999997,23.7g
WISEA J003500.29+004140.5,8.75118,0.6946399999999999,-19,-6.500000000000001e-05,21.8g
WISEA J003513.08-002035.4,8.8048,-0.34309,-11,-3.8e-05,21.7g
SDSS J003526.67+001524.6,8.86115,0.25685,-246,-0.000819,19.5g
WISEA J003534.78-002714.7,8.894910000000001,-0.45407,-69642,-0.2323,23.2g
2MASS J00354765-0112132,8.94861,-1.20412,0,-1e-06,19.6g
WISEA J003556.87-000341.5,8.9867,-0.06162,-22,-7.4e-05,22.1g
SDSS J003600.99+010653.4,9.00416,1.11485,-20,-6.8e-05,21.4g
WISEA J003616.77+145540.7,9.07002,14.92815,-101,-0.000338,23.5g
WISEA J003618.29-000821.8,9.076139999999999,-0.13944,-23,-7.8e-05,22.1g
WISEA J003624.41-002500.8,9.10172,-0.41671,-2,-7.000000000000001e-06,20.4g
SDSS J003626.77+010323.5,9.11154,1.05655,-184,-0.000615,19.4g
WISEA J003643.20-002550.9,9.17994,-0.4308,-15,-5e-05,16.9g
WISEA J003645.70+003622.9,9.1903,0.60611,-81,-0.000271,22.8g
WISEA J003657.94+005721.7,9.240910000000001,0.9559200000000001,-156,-0.000519,19.49
2MASS J00365851+1413257,9.24368,14.22385,-26,-8.8e-05,18.7g
WISEA J003659.37-004626.5,9.24733,-0.77395,-13,-4.2e-05,19.9g
WISEA J003707.58+005748.5,9.28171,0.96344,-20,-6.7e-05,21.7g
WISEA J003725.88+000755.4,9.35781,0.13215,-9,-3.1e-05,20.1g
WISEA J003730.79-064429.6,9.37838,-6.7415,-1005,-0.003353,18.54
WISEA J003742.59+013631.3,9.4273,1.6085,-6,-2.1e-05,20.06
2MASS J00374981-0000337,9.457510000000001,-0.00937,-22,-7.4e-05,19.9g
WISEA J003751.73-095531.4,9.465539999999999,-9.925239999999999,-24,-7.900000000000001e-05,20.19
SDSS J003800.14+142318.5,9.5006,14.38849,-92,-0.000306,20.3g
SDSS J003814.11-010907.2,9.55883,-1.1520299999999999,-145,-0.00048499999999999997,21.0g
WISEA J003817.25-000045.4,9.571819999999999,-0.01255,-32,-0.00010700000000000001,20.8g
SDSS J003818.79-002222.6,9.57832,-0.37295,-142,-0.00047300000000000006,22.3g
SDSS J003827.45+005349.8,9.61439,0.89718,-19,-6.3e-05,20.9g
WISEA J003833.10-065031.0,9.63825,-6.8422,-57,-0.00018899999999999999,19.86
WISEA J003839.67+151616.0,9.665189999999999,15.27108,-3,-1.1e-05,21.1g
2MASS J00385667+0101472,9.736080000000001,1.02968,-40,-0.000135,20.5g
SDSS J003909.90-002158.9,9.791310000000001,-0.36633000000000004,-170,-0.0005679999999999999,20.6g
WISEA J003920.69+000908.9,9.836219999999999,0.15252000000000002,-49,-0.000165,16.8g
SDSS J003920.95+005050.5,9.83732,0.84739,-156,-0.0005200000000000001,21.3g
WISEA J003925.18+003324.4,9.85493,0.55682,-92,-0.000307,20.4g
WISEA J003929.77+000431.4,9.87393,0.07547000000000001,-38,-0.000126,20.5g
WISEA J003950.01+000815.2,9.95839,0.13760999999999998,-4,-1.4999999999999999e-05,17.4g
WISEA J004014.90+001445.3,10.06214,0.24609,-81,-0.00027,20.1g
WISEA J004022.14+003359.5,10.09216,0.5665100000000001,-11,-3.7e-05,19.8g
WISEA J004025.31+143458.8,10.10567,14.58298,-20,-6.6e-05,21.9g
WISEA J004028.85-010519.3,10.12015,-1.0885,-9,-3.1e-05,21.3g
SDSS J004111.95-051141.6,10.299760000000001,-5.19505,-99,-0.000331,20.42
